linguagem,caso,n,media_us,desvio_us
Python,melhor,1000,74.6333,10.1888
Python,melhor,10000,799.2000,108.1787
Python,melhor,100000,8003.9367,1091.0556
Python,medio,1000,101.2967,86.3023
Python,medio,10000,806.8700,123.4494
Python,medio,100000,9515.1933,3397.5270
Python,pior,1000,101.5833,12.8231
Python,pior,10000,1024.8400,159.1455
Python,pior,100000,11194.9100,603.4956
